,,,,,,,
,Annual Real Returns,,,,,,
1960,1.36%,-1.01%,1.49%,10.14%,5.23%,-0.59%,-0.86%
1961,0.67%,25.79%,1.67%,1.38%,4.40%,0.30%,-0.72%
1962,1.33%,-10.01%,1.42%,4.30%,5.09%,-1.00%,-1.37%
1963,1.64%,20.63%,1.49%,0.04%,3.76%,0.49%,-2.01%
1964,0.97%,15.30%,2.55%,2.73%,4.15%,0.29%,-0.93%
1965,1.92%,10.28%,1.99%,-1.18%,1.24%,-0.26%,-1.83%
1966,3.46%,-12.98%,1.35%,-0.53%,-6.67%,-2.16%,-3.32%
1967,3.04%,20.15%,1.22%,-4.48%,-2.08%,-0.70%,-3.45%
1968,4.72%,5.82%,0.59%,-1.38%,0.12%,-0.56%,7.41%
1969,6.20%,-13.60%,0.44%,-10.56%,-7.74%,0.75%,-1.12%
1970,5.57%,-1.90%,0.78%,10.59%,0.08%,2.51%,-14.23%
1971,3.27%,10.61%,1.03%,6.31%,10.40%,0.95%,13.00%
1972,3.41%,14.84%,0.63%,-0.57%,7.74%,-0.42%,43.88%
1973,8.71%,-21.17%,-1.54%,-4.64%,-4.04%,-4.86%,59.11%
1974,12.34%,-34.04%,-4.00%,-9.21%,-14.88%,-2.02%,47.90%
1975,6.94%,28.11%,-1.08%,-3.12%,3.85%,-0.15%,-29.68%
1976,4.86%,18.09%,0.11%,10.60%,14.20%,3.16%,-8.55%
1977,6.70%,-12.82%,-1.35%,-5.07%,3.05%,7.45%,14.94%
1978,9.02%,-2.30%,-1.69%,-8.99%,-5.39%,6.15%,25.68%
1979,13.29%,4.61%,-2.86%,-11.14%,-13.51%,0.40%,99.97%
1980,12.52%,17.08%,-1.00%,-13.78%,-14.07%,-4.55%,2.37%
1981,8.92%,-12.51%,4.69%,-0.66%,-0.42%,-3.51%,-38.12%
1982,3.83%,15.98%,6.52%,27.92%,24.29%,-3.15%,11.36%
1983,3.79%,17.87%,4.65%,-0.57%,11.95%,0.92%,-19.84%
1984,3.95%,2.11%,5.38%,9.41%,11.23%,0.70%,-22.44%
1985,3.80%,26.43%,3.54%,21.11%,19.33%,3.54%,2.12%
1986,1.10%,17.21%,4.82%,22.93%,20.17%,8.42%,17.66%
1987,4.43%,1.32%,1.29%,-9.00%,-2.05%,3.30%,19.24%
1988,4.42%,11.60%,2.15%,3.64%,10.24%,2.67%,-18.84%
1989,4.65%,25.64%,3.31%,12.47%,10.65%,-0.25%,-7.15%
1990,6.11%,-8.64%,1.31%,0.12%,0.03%,-6.41%,-8.69%
1991,3.06%,26.36%,2.24%,11.59%,14.35%,-3.13%,-11.28%
1992,2.90%,4.46%,0.52%,6.28%,9.01%,-2.02%,-8.39%
1993,2.75%,7.03%,0.24%,11.16%,13.32%,-0.57%,14.53%
1994,2.67%,-1.31%,1.54%,-10.43%,-3.89%,-0.16%,-4.72%
1995,2.54%,33.80%,2.88%,20.42%,17.18%,-0.72%,-1.52%
1996,3.32%,18.74%,1.63%,-1.83%,1.42%,-0.88%,-7.65%
1997,1.70%,30.88%,3.30%,8.10%,9.96%,2.28%,-22.72%
1998,1.61%,26.30%,3.11%,13.10%,6.23%,4.76%,-2.40%
1999,2.68%,17.72%,1.90%,-10.65%,-1.79%,4.86%,-1.79%
2000,3.39%,-12.01%,2.35%,12.83%,5.75%,5.70%,-8.54%
2001,1.55%,-13.20%,1.82%,3.96%,6.17%,5.04%,-0.79%
2002,2.38%,-23.78%,-0.75%,12.44%,9.57%,7.02%,22.65%
2003,1.88%,25.99%,-0.86%,-1.48%,11.44%,7.79%,17.68%
2004,3.26%,7.25%,-1.82%,1.20%,6.42%,10.05%,1.35%
2005,3.42%,1.37%,-0.26%,-0.53%,1.45%,9.76%,13.88%
2006,2.54%,12.75%,2.14%,-0.57%,4.40%,-0.79%,20.14%
2007,4.08%,1.35%,0.27%,5.89%,-0.89%,-9.11%,26.75%
2008,0.09%,-36.61%,1.28%,19.99%,-5.15%,-12.08%,4.22%
2009,2.72%,22.60%,-2.50%,-13.47%,20.06%,-6.40%,21.72%
2010,1.50%,13.13%,-1.34%,6.86%,6.75%,-5.53%,27.34%
2011,2.96%,-0.84%,-2.83%,12.70%,9.35%,-6.65%,8.80%
2012,1.74%,13.91%,-1.63%,1.21%,8.24%,4.61%,3.88%
2013,1.50%,30.19%,-1.42%,-10.45%,-2.52%,9.08%,-28.69%
2014,0.76%,12.67%,-0.72%,9.91%,9.56%,3.73%,-0.63%
2015,0.73%,0.64%,-0.67%,0.55%,-1.42%,4.45%,-12.74%
2016,2.07%,9.50%,-1.72%,-1.36%,8.12%,3.17%,5.91%
2017,2.11%,19.09%,-1.15%,0.68%,7.46%,4.02%,10.34%
2018,1.91%,-6.02%,0.03%,-1.89%,-4.59%,2.57%,-2.79%
2019,2.29%,28.28%,-0.22%,7.19%,12.75%,1.38%,16.42%
2020,1.36%,16.44%,-0.99%,9.84%,8.93%,8.86%,22.50%
2021,7.10%,19.95%,-6.59%,-10.75%,-5.76%,11.03%,-10.13%
2022,6.42%,-22.96%,-4.13%,-22.79%,-19.65%,0.83%,-5.52%
