1969,-8.24%,6.67%,-5.01%,-2.03%,6.99%,5.01%
1970,3.56%,6.39%,16.75%,5.65%,8.22%,-9.45%
1971,14.22%,4.33%,9.79%,14.00%,4.24%,16.69%
1972,18.76%,4.06%,2.82%,11.41%,2.98%,48.78%
1973,-14.31%,7.04%,3.66%,4.32%,3.42%,72.96%
1974,-25.90%,7.85%,1.99%,-4.38%,10.07%,66.15%
1975,37.00%,5.79%,3.61%,11.05%,6.77%,-24.80%
1976,23.83%,4.98%,15.98%,19.75%,8.18%,-4.10%
1977,-6.98%,5.26%,1.29%,9.95%,14.65%,22.64%
1978,6.51%,7.18%,-0.78%,3.14%,15.72%,37.01%
1979,18.52%,10.05%,0.67%,-2.01%,13.74%,126.55%
1980,31.74%,11.39%,-2.99%,-3.32%,7.40%,15.19%
1981,-4.70%,14.04%,8.20%,8.46%,5.10%,-32.60%
1982,20.42%,10.60%,32.81%,29.05%,0.56%,15.62%
1983,22.34%,8.62%,3.20%,16.19%,4.75%,-16.80%
1984,6.15%,9.54%,13.73%,15.62%,4.68%,-19.38%
1985,31.24%,7.47%,25.71%,23.86%,7.47%,6.00%
1986,18.49%,5.97%,24.28%,21.49%,9.61%,18.96%
1987,5.81%,5.78%,-4.96%,2.29%,7.88%,24.53%
1988,16.54%,6.67%,8.22%,15.12%,7.21%,-15.26%
1989,31.48%,8.11%,17.69%,15.79%,4.38%,-2.84%
1990,-3.06%,7.50%,6.24%,6.14%,-0.69%,-3.11%
1991,30.23%,5.38%,15.00%,17.85%,-0.16%,-8.56%
1992,7.49%,3.43%,9.36%,12.17%,0.82%,-5.73%
1993,9.97%,3.00%,14.21%,16.43%,2.16%,17.68%
1994,1.33%,4.25%,-8.04%,-1.32%,2.51%,-2.17%
1995,37.20%,5.49%,23.48%,20.16%,1.80%,0.98%
1996,22.68%,5.01%,1.43%,4.79%,2.42%,-4.59%
1997,33.10%,5.06%,9.94%,11.83%,4.02%,-21.41%
1998,28.34%,4.78%,14.92%,7.95%,6.45%,-0.83%
1999,20.89%,4.64%,-8.25%,0.84%,7.68%,0.85%
2000,-9.03%,5.82%,16.66%,9.33%,9.28%,-5.44%
2001,-11.85%,3.40%,5.57%,7.82%,6.67%,0.75%
2002,-21.97%,1.61%,15.12%,12.18%,9.56%,25.57%
2003,28.36%,1.01%,0.38%,13.53%,9.82%,19.89%
2004,10.74%,1.37%,4.49%,9.89%,13.64%,4.65%
2005,4.83%,3.15%,2.87%,4.92%,13.51%,17.77%
2006,15.61%,4.73%,1.96%,7.05%,1.73%,23.20%
2007,5.48%,4.36%,10.21%,3.15%,-5.40%,31.92%
2008,-36.55%,1.37%,20.10%,-5.07%,-12.00%,4.32%
2009,25.94%,0.15%,-11.12%,23.33%,-3.85%,25.04%
2010,14.82%,0.14%,8.46%,8.35%,-4.12%,29.24%
2011,2.10%,0.05%,16.04%,12.58%,-3.88%,12.02%
2012,15.89%,0.09%,2.97%,10.12%,6.44%,5.68%
2013,32.15%,0.06%,-9.10%,-1.06%,10.72%,-27.61%
2014,13.52%,0.03%,10.75%,10.38%,4.51%,0.12%
2015,1.38%,0.05%,1.28%,-0.70%,5.21%,-12.11%
2016,11.77%,0.32%,0.69%,10.37%,5.31%,8.10%
2017,21.61%,0.93%,2.80%,9.72%,6.21%,12.66%
2018,-4.23%,1.94%,-0.02%,-2.76%,4.53%,-0.93%
2019,31.21%,2.06%,9.64%,15.33%,3.69%,19.08%
2020,18.02%,0.35%,11.33%,10.41%,10.35%,24.17%
2021,28.47%,0.05%,-4.42%,0.93%,18.91%,-3.75%
2022,-18.01%,2.02%,-17.83%,-14.49%,7.30%,0.55%
